,cate_nm,entrp_nm,load_addr,city_do_cd,city_gn_gu_cd,xpos_lo,ypos_la,area_nm,homepage_url,tel_no,base_ymd
2541,볼링장,라인볼링장,서울특별시 강남구 강남대로 308 랜드마크타워 지하2층,11.0,11680.0,127.031739,37.490641,서울,_,02-555-4199,2020-12-31
2542,VR테마파크,VR스테이션,서울특별시 강남구 강남대로 364 미왕빌딩 지하1층~3층,11.0,11680.0,127.029335,37.495559,서울,"http://h-vrstation.com, http://www.instagram.com/vrstation, http://www.facebook.com/vrstation.official/",1877-8870,2020-12-31
2543,오락실,못된 강아지,서울특별시 강남구 강남대로102길 15  1층 (역삼동),11.0,11680.0,127.026998,37.502225,서울,,,2020-12-31
2544,VR테마파크,BAD VR 논현점,서울특별시 강남구 강남대로118길 15,11.0,11680.0,127.02471,37.506793,서울,https://blog.naver.com/jaemigym,02-6952-0313,2020-12-31
2545,VR테마파크,콩 VR 강남역점,서울특별시 강남구 강남대로94길 10 케이스퀘어강남 지하1층 콩VR,11.0,11680.0,127.028202,37.499208,서울,"http://kong-vr.com, http://www.instagram.com/kongvr_official, http://blog.naver.com/kongvrhttp://www.facebook.com/kongvrofficial",070-4231-5445,2020-12-31
2546,VR테마파크,더메이즈 VR 강남점,서울특별시 강남구 강남대로94길 13,11.0,11680.0,127.028423,37.499597,서울,"http://www.facebook.com/themazevrgn, http://www.instagram.com/themazevrgn, http://www.themazevr.co.kr/",02-561-8882,2020-12-31
2547,VR테마파크,캠프VR 강남점,서울특별시 강남구 강남대로94길 9 크리스탈빌딩 4층,11.0,11680.0,127.028108,37.499495,서울,"http://www.campvr.co.kr, https://blog.naver.com/campvr, https://www.instagram.com/camp__vr/https://www.facebook.com/campvr/",02-568-7170,2020-12-31
2548,오락실,골드게임랜드,서울특별시 강남구 개포로 234  흥진빌딩 지하1층 (개포동),11.0,11680.0,127.048354,37.478756,서울,,,2020-12-31
2549,볼링장,스타24시볼링포차,서울특별시 강남구 논현로 641 B1,11.0,11680.0,127.031591,37.510841,서울,_,02-512-1797,2020-12-31
2550,VR테마파크,캠프VR 청주점,서울특별시 강남구 논현로75길 8 비드빌딩 2층,11.0,11680.0,127.038028,37.496648,서울,"https://www.campvr.co.kr/, https://blog.naver.com/campvr, https://www.instagram.com/camp__vr/https://www.facebook.com/campvr/",043-237-9100,2020-12-31
2551,오락실,못된강아지,서울특별시 강남구 도산대로11길 15 (신사동),11.0,11680.0,127.022387,37.518415,서울,,,2020-12-31
2552,VR테마파크,브이알존 가로수길점,서울특별시 강남구 도산대로11길 18,11.0,11680.0,127.022712,37.518643,서울,"http://vr-zone.co.kr, http://www.facebook.com/vrzonekorea, http://www.instagram.com/vr_zone_http://blog.naver.com/vr-zone",02-545-3394,2020-12-31
2553,오락실,엑스게임존,서울특별시 강남구 도산대로11길 25  1층 102호 (신사동),11.0,11680.0,127.022321,37.519144,서울,,,2020-12-31
2554,VR테마파크,브이알존 코엑스 직영점,서울특별시 강남구 봉은사로 524 코엑스몰 B1 J106,11.0,11680.0,127.057186,37.512814,서울,"http://vr-zone.co.kr, http://www.facebook.com/vrzonekorea, http://www.instagram.com/vr_zone_http://blog.naver.com/vr-zone",02-6002-5525,2020-12-31
2555,볼링장,가인볼링장,서울특별시 강남구 봉은사로114길 20 지하1.2층,11.0,11680.0,127.065375,37.513762,서울,_,02-566-9389,2020-12-31
2556,오락실,DOLLY DOLLY(돌리돌리),서울특별시 강남구 봉은사로2길 29 (역삼동),11.0,11680.0,127.026357,37.502824,서울,,,2020-12-31
2557,오락실,퍼니랜드,서울특별시 강남구 봉은사로2길 35  1층  지하1층 (역삼동  소현빌딩),11.0,11680.0,127.026531,37.502429,서울,,,2020-12-31
2558,오락실,하늘별따기,서울특별시 강남구 압구정로2길 49  1층 (신사동),11.0,11680.0,127.021207,37.518703,서울,,,2020-12-31
2559,볼링장,역삼볼링시티,서울특별시 강남구 언주로85길 13 경남아파트 지하1층,11.0,11680.0,127.042243,37.500485,서울,_,02-553-5670,2020-12-31
2560,볼링장,삼성볼링장,서울특별시 강남구 역삼로 604,11.0,11680.0,127.066115,37.505262,서울,_,_,2020-12-31
2561,오락실,큐브존,서울특별시 강남구 영동대로 513  지하2층 (삼성동  코엑스),11.0,11680.0,127.058773,37.512565,서울,,,2020-12-31
2562,오락실,펀시티(FunCity),서울특별시 강남구 영동대로 513  코엑스 지하2층 G202B호 (삼성동),11.0,11680.0,127.058773,37.512565,서울,,,2020-12-31
2563,VR테마파크,VR플러스카페,서울특별시 강남구 테헤란로4길 14 미림타워,11.0,11680.0,127.029685,37.497355,서울,,,2020-12-31
2564,오락실,퍼니랜드(FUNNY LAND),서울특별시 강동구 구천면로 192  1층 110호 (천호동  천호역 한강 푸르지오시티),11.0,11740.0,127.125853,37.540437,서울,,,2020-12-31
2565,오락실,FUNNY LAND,서울특별시 강동구 구천면로 192  천호역 한강 푸르지오시티 102호 (천호동),11.0,11740.0,127.125853,37.540437,서울,,,2020-12-31
2566,오락실,대박게임장,서울특별시 강동구 구천면로 228  3층 (천호동),11.0,11740.0,127.12991,37.540881,서울,,,2020-12-31
2567,오락실,명일게임천국,서울특별시 강동구 동남로75길 29 (명일동),11.0,11740.0,127.154542,37.554161,서울,,,2020-12-31
2568,오락실,새우주,서울특별시 강동구 상암로 201 (명일동 지하102호),11.0,11740.0,127.145007,37.546668,서울,,,2020-12-31
2569,오락실,피에스레이싱,서울특별시 강동구 성안로 10  3층 (성내동  현대표지),11.0,11740.0,127.129487,37.524731,서울,,,2020-12-31
2570,오락실,개미게임월드,서울특별시 강동구 암사길 32 (암사동),11.0,11740.0,127.132772,37.551679,서울,,,2020-12-31
2571,오락실,게임파크(GAME PARK),서울특별시 강동구 양재대로 1335  1층 (성내동),11.0,11740.0,127.134907,37.525591,서울,,,2020-12-31
2572,오락실,하리케인게임장,서울특별시 강동구 양재대로 1371  1층 17호 (성내동),11.0,11740.0,127.136059,37.528717,서울,,,2020-12-31
2573,볼링장,길동 볼링장,서울특별시 강동구 양재대로 1458,11.0,11740.0,127.139608,37.535906,서울,_,02-488-7674,2020-12-31
2574,볼링장,가인볼링장,서울특별시 강동구 양재대로113길 51 우성아트빌,11.0,11740.0,127.140639,37.537761,서울,_,02-489-1500,2020-12-31
2575,오락실,선광,서울특별시 강동구 양재대로136길 18 (명일동),11.0,11740.0,127.144715,37.548477,서울,,,2020-12-31
2576,오락실,못된강아지,서울특별시 강동구 양재대로89길 31  1층 (성내동),11.0,11740.0,127.133774,37.526718,서울,,,2020-12-31
2577,볼링장,스핀볼링장24,서울특별시 강동구 올림픽로 664 대우한강베네시티 지하2층,11.0,11740.0,127.124639,37.54068,서울,_,02-484-3005,2020-12-31
2578,볼링장,스핀볼링장,서울특별시 강동구 올림픽로 664 대우한강베네시티 지하2층,11.0,11740.0,127.124639,37.54068,서울,_,02-482-3001,2020-12-31
2579,오락실,펀존게임센터,서울특별시 강동구 올림픽로70길 61  101호 (천호동 두산위브센티움 지하),11.0,11740.0,127.127053,37.539391,서울,,,2020-12-31
2580,오락실,크리스탈,서울특별시 강동구 진황도로 100  B102호 (길동  하이브),11.0,11740.0,127.13743,37.53544,서울,,,2020-12-31
2581,오락실,천호게임랜드,서울특별시 강동구 진황도로 12  지층 2호 (천호동  코오롱아파트),11.0,11740.0,127.128312,37.539121,서울,,,2020-12-31
2582,볼링장,현대볼링장,서울특별시 강동구 진황도로 18 현대프라자,11.0,11740.0,127.129092,37.539226,서울,_,02-471-0925,2020-12-31
2583,볼링장,현대프라자볼링장,서울특별시 강동구 천호3동 407-11,11.0,11740.0,127.12821,37.540121,서울,_,02-201-0777,2020-12-31
2584,오락실,캐릭터마켓,서울특별시 강동구 천호대로 995 (천호동  금복빌딩),11.0,11740.0,127.123026,37.539299,서울,,,2020-12-31
2585,볼링장,놀자GO볼링장,서울특별시 강동구 천호대로157길 14 나비쇼핑몰 5층,11.0,11740.0,127.12727,37.53824,서울,_,02-479-0925,2020-12-31
2586,VR테마파크,워크인브이알아케이드,서울특별시 강동구 천호대로157길 34 1층 워크인브이알아케이드,11.0,11740.0,127.127723,37.539207,서울,,070-8231-6104,2020-12-31
2587,오락실,지투존 천호로데오점,서울특별시 강동구 천호대로157길 37  1층 3 4 5 6 7호 (천호동  수정상가),11.0,11740.0,127.127277,37.5396,서울,,,2020-12-31
2588,오락실,즐겜,서울특별시 강동구 천호대로157길 49  1층 (천호동),11.0,11740.0,127.127635,37.539918,서울,,,2020-12-31
2589,오락실,콤콤오락실,서울특별시 강동구 천호옛14길 23-4  1층 (성내동),11.0,11740.0,127.126976,37.536273,서울,,,2020-12-31
2590,오락실,우리게임랜드,서울특별시 강북구 노해로 41  동아빌딩 (수유동),11.0,11305.0,127.022459,37.639317,서울,,,2020-12-31
2591,오락실,수유금성게임랜드,서울특별시 강북구 덕릉로 92 (미아동),11.0,11305.0,127.023915,37.634535,서울,,,2020-12-31
2592,오락실,큐브존,서울특별시 강북구 도봉로 308 (번동  (주)북한산스카이),11.0,11305.0,127.023833,37.63567,서울,,,2020-12-31
2593,볼링장,RNB볼링장,서울특별시 강북구 도봉로 34 트레지오,11.0,11305.0,127.030733,37.612084,서울,_,02-986-1600,2020-12-31
2594,볼링장,더블유볼링,서울특별시 강북구 도봉로 342,11.0,11305.0,127.026136,37.638041,서울,_,02-992-0088,2020-12-31
2595,오락실,한게임랜드,서울특별시 강북구 도봉로 377 (수유동  청송빌딩),11.0,11305.0,127.028285,37.640906,서울,,,2020-12-31
2596,볼링장,볼링펍 CGV수유점,서울특별시 강북구 도봉로 399 CGC수유 3층,11.0,11305.0,127.029806,37.642414,서울,http://m.cgv.co.kr/WebApp/SpecialV4/PlayZoneDetail.aspx?idx=17,1544-1122,2020-12-31
2597,오락실,휴게임장,서울특별시 강북구 도봉로10길 22 (미아동),11.0,11305.0,127.030894,37.613608,서울,,,2020-12-31
2598,오락실,하늘,서울특별시 강북구 도봉로77길 20  2층 (수유동),11.0,11305.0,127.022192,37.633737,서울,,,2020-12-31
2599,오락실,실내야구장,서울특별시 강북구 도봉로87길 12 (수유동),11.0,11305.0,127.025099,37.638474,서울,,,2020-12-31
2600,오락실,펀앤펀,서울특별시 강북구 도봉로87길 39 (수유동),11.0,11305.0,127.023834,37.63904,서울,,,2020-12-31
2601,볼링장,우이볼링장,서울특별시 강북구 삼양로 424,11.0,11305.0,127.017129,37.641426,서울,_,02-905-6400,2020-12-31
2602,오락실,동아게임장,서울특별시 강북구 솔매로 86 (미아동),11.0,11305.0,127.021819,37.625057,서울,,,2020-12-31
2603,오락실,잡아방,서울특별시 강북구 월계로3길 68 (미아동),11.0,11305.0,127.031518,37.612658,서울,,,2020-12-31
2604,볼링장,럭키볼링센터,서울특별시 강북구 한천로 1013,11.0,11305.0,127.028659,37.638323,서울,_,02-991-0013~4,2020-12-31
2605,오락실,블루게임랜드,서울특별시 강북구 한천로 1044 (수유동),11.0,11305.0,127.026409,37.640548,서울,,,2020-12-31
2606,오락실,팡팡게임랜드,서울특별시 강북구 한천로 1076 (수유동),11.0,11305.0,127.023675,37.642489,서울,,,2020-12-31
2607,오락실,드레곤게임장,서울특별시 강서구 가로공원로76길 107  1층 (화곡동),11.0,11500.0,126.839362,37.532598,서울,,,2020-12-31
2608,오락실,두두플레이방 화곡중앙시장점,서울특별시 강서구 가로공원로76길 95  1층 (화곡동),11.0,11500.0,126.839083,37.533091,서울,,,2020-12-31
2609,오락실,나잡아봐라,서울특별시 강서구 강서로 21  1층 (화곡동),11.0,11500.0,126.847528,37.529876,서울,,,2020-12-31
2610,오락실,CRANE WORLD,서울특별시 강서구 강서로 243 (화곡동),11.0,11500.0,126.835987,37.547405,서울,,,2020-12-31
2611,오락실,강서게임파크,서울특별시 강서구 강서로 253 (내발산동),11.0,11500.0,126.836061,37.548433,서울,,,2020-12-31
2612,오락실,스타게임존,서울특별시 강서구 강서로 385  우성에스비타워 1층 (마곡동),11.0,11500.0,126.838302,37.560096,서울,,,2020-12-31
2613,오락실,게임빌리지,서울특별시 강서구 강서로 53  지층 (화곡동),11.0,11500.0,126.845915,37.532491,서울,,,2020-12-31
2614,오락실,퍼드림,서울특별시 강서구 강서로17길 134  영주빌딩 1층 (화곡동),11.0,11500.0,126.838329,37.532084,서울,,,2020-12-31
2615,오락실,패밀리 게임장,서울특별시 강서구 강서로18다길 30  1층 (화곡동),11.0,11500.0,126.847191,37.535567,서울,,,2020-12-31
2616,볼링장,볼원볼링장,서울특별시 강서구 강서로54길 42 2층 3층,11.0,11500.0,126.841106,37.558817,서울,_,02-3662-6868,2020-12-31
2617,오락실,푸시킹,서울특별시 강서구 강서로5나길 144  힐하우스 1층 (화곡동),11.0,11500.0,126.840072,37.528388,서울,,,2020-12-31
2618,오락실,조이풀게임장,서울특별시 강서구 강서로5나길 32  2층 (화곡동  은하빌딩),11.0,11500.0,126.846413,37.528766,서울,,,2020-12-31
2619,오락실,천하게임랜드,서울특별시 강서구 곰달래로 139-1  3층 (화곡동),11.0,11500.0,126.848497,37.530841,서울,,,2020-12-31
2620,오락실,FUN&FUNNY,서울특별시 강서구 곰달래로 221 (화곡동),11.0,11500.0,126.857568,37.531758,서울,,,2020-12-31
2621,오락실,베스트365놀이터,서울특별시 강서구 곰달래로 225  101호 (화곡동),11.0,11500.0,126.858031,37.531861,서울,,,2020-12-31
2622,오락실,CATCH UP,서울특별시 강서구 곰달래로 231  1층 (화곡동),11.0,11500.0,126.85872,37.531931,서울,,,2020-12-31
2623,오락실,목동게임장,서울특별시 강서구 곰달래로 262-1  2층 (화곡동),11.0,11500.0,126.862181,37.532018,서울,,,2020-12-31
2624,오락실,Funny놀이터zone,서울특별시 강서구 곰달래로53길 41  1층 (화곡동),11.0,11500.0,126.858809,37.533473,서울,,,2020-12-31
2625,볼링장,파크 볼링장,서울특별시 강서구 공항대로 213 보타닉파크타워2 B1,11.0,11500.0,126.83137,37.559694,서울,_,02-3662-0929,2020-12-31
2626,오락실,FUNNY & JOY,서울특별시 강서구 공항대로 247  4층 405호 (마곡동  퀸즈파크나인),11.0,11500.0,126.835235,37.559318,서울,,,2020-12-31
2627,볼링장,KBS스포츠월드볼링장,서울특별시 강서구 공항대로 376,11.0,11500.0,126.8476,37.556809,서울,_,02-2600-8882,2020-12-31
2628,오락실,P.M.U.,서울특별시 강서구 공항대로45길 12  1층 (등촌동),11.0,11500.0,126.85462,37.555859,서울,,,2020-12-31
2629,오락실,GAME ZONE,서울특별시 강서구 공항대로45길 63  3층 (등촌동),11.0,11500.0,126.855993,37.557872,서울,,,2020-12-31
2630,오락실,짱구오락실,서울특별시 강서구 공항대로46길 57  3층 (화곡동  정원빌딩),11.0,11500.0,126.852019,37.553518,서울,,,2020-12-31
2631,오락실,강서게임랜드,서울특별시 강서구 공항대로46길 93  2층 (화곡동),11.0,11500.0,126.851,37.552057,서울,,,2020-12-31
2632,오락실,왕 오락실,서울특별시 강서구 금낭화로 80  3층 (방화동),11.0,11500.0,126.811697,37.572599,서울,,,2020-12-31
2633,오락실,Funny놀이터Zone,서울특별시 강서구 까치산로 85  1층 (화곡동),11.0,11500.0,126.847707,37.546186,서울,,,2020-12-31
2634,오락실,J.Push Shop,서울특별시 강서구 등촌로 15  1층 (화곡동),11.0,11500.0,126.863504,37.53131,서울,,,2020-12-31
2635,볼링장,타워락볼링장,서울특별시 강서구 마곡중앙6로 16,11.0,11500.0,126.829005,37.56041,서울,http://blog.naver.com/jhk30000,02-3663-7922,2020-12-31
2636,오락실,요요파크노라존(YOYOOPARKNOLAZON 마곡점),서울특별시 강서구 마곡중앙6로 89  102-2호 (마곡동  뉴골든타워),11.0,11500.0,126.837293,37.560176,서울,,,2020-12-31
2637,오락실,짱구오락실,서울특별시 강서구 마곡중앙8로 90  마곡아이파크 1층 105호 (마곡동),11.0,11500.0,126.837593,37.560576,서울,,,2020-12-31
2638,오락실,마곡게임존,서울특별시 강서구 마곡중앙로 161-1  마곡나루역캐슬파크 113호 (마곡동),11.0,11500.0,126.82745,37.567873,서울,,,2020-12-31
2639,오락실,라마 오락실,서울특별시 강서구 마곡중앙로 161-11  A동 B109 110호 (마곡동  힐스테이트에코마곡나루역라마다앙코르서울),11.0,11500.0,126.826713,37.567983,서울,,,2020-12-31
2640,오락실,두두플레이방,서울특별시 강서구 송정로 38 (공항동),11.0,11500.0,126.811077,37.558248,서울,,,2020-12-31
2641,오락실,짱게임랜드,서울특별시 강서구 송정로 49  지하1층 (공항동),11.0,11500.0,126.810258,37.559195,서울,,,2020-12-31
2642,볼링장,주영볼링센터,서울특별시 강서구 양천로 461 주영빌딩,11.0,11500.0,126.852235,37.563053,서울,_,02-3662-0004,2020-12-31
2643,볼링장,블루나인볼링장,서울특별시 강서구 양천로 583,11.0,11500.0,126.864278,37.557087,서울,_,02-2093-3377,2020-12-31
2644,VR테마파크,다니엘컴퍼니,서울특별시 강서구 양천로 583 113호,11.0,11500.0,126.864278,37.557087,서울,http://funnycafe.co.kr/,1600-6755,2020-12-31
2645,볼링장,강서볼링센타,서울특별시 강서구 양천로 706,11.0,11500.0,126.874285,37.549452,서울,_,02-3661-3030~1,2020-12-31
2646,볼링장,정곡볼링장,서울특별시 강서구 양천로26길 18,11.0,11500.0,126.81792,37.572797,서울,_,02-2665-5060,2020-12-31
2647,오락실,그랜드 게임존,서울특별시 강서구 화곡로 347  b1층 (화곡동  그랜드아이파크),11.0,11500.0,126.851453,37.554981,서울,,,2020-12-31
2648,오락실,동네오락실,서울특별시 강서구 화곡로20길 58  지층 (화곡동),11.0,11500.0,126.836701,37.537834,서울,,,2020-12-31
2649,오락실,못된 강아지,서울특별시 강서구 화곡로58길 19  1층 (화곡동),11.0,11500.0,126.852061,37.553005,서울,,,2020-12-31
2650,오락실,짱오락실아케이드 서울대입구점,서울특별시 관악구 관악로 173  1층 (봉천동  맨우측(안쪽)),11.0,11620.0,126.952269,37.480709,서울,,,2020-12-31
2651,오락실,짱오락실 서울대점,서울특별시 관악구 관악로 173  1층 (봉천동),11.0,11620.0,126.952269,37.480709,서울,,,2020-12-31
2652,오락실,바다게임장,서울특별시 관악구 난곡로 332  2층 (신림동),11.0,11620.0,126.914418,37.483629,서울,,,2020-12-31
2653,오락실,에그게임장,서울특별시 관악구 남부순환로 1820  10층 3호 (봉천동  에그엘로우),11.0,11620.0,126.95213,37.480978,서울,,,2020-12-31
2654,오락실,에그오락실,서울특별시 관악구 남부순환로 1820  에그엘로우 10004 10005호 (봉천동),11.0,11620.0,126.95213,37.480978,서울,,,2020-12-31
2655,오락실,명품게임랜드,서울특별시 관악구 시흥대로 562  3층 (신림동),11.0,11620.0,126.902158,37.483074,서울,,,2020-12-31
2656,오락실,금성게임랜드,서울특별시 관악구 시흥대로 570  4층 (신림동),11.0,11620.0,126.902479,37.483555,서울,,,2020-12-31
2657,오락실,(주)지앤지 어소시에이츠,서울특별시 관악구 신림로 330  9층 906호 (신림동  포도몰),11.0,11620.0,126.930233,37.483872,서울,,,2020-12-31
2658,VR테마파크,캠프VR 신림점,서울특별시 관악구 신림로 340 9층 캠프VR 신림점,11.0,11620.0,126.930118,37.484781,서울,"http://www.campvr.co.kr, http://blog.naver.com/campvr, http://www.facebook.com/campvrhttp://www.instagram.com/camp__vr/",070-4260-5460,2020-12-31
2659,볼링장,제이앤제이볼링센터,서울특별시 관악구 신림로 340 르네상스복합쇼핑몰,11.0,11620.0,126.930118,37.484781,서울,_,02-888-3898,2020-12-31
2660,오락실,신림놀이터,서울특별시 관악구 신림로59길 10  1층 (신림동),11.0,11620.0,126.929203,37.48316,서울,,,2020-12-31
2661,오락실,포토샵,서울특별시 관악구 신림로59길 17  1층 (신림동),11.0,11620.0,126.928787,37.482967,서울,,,2020-12-31
2662,볼링장,삼모볼링장,서울특별시 관악구 신림로59길 23 삼모스포렉스빌딩 6층 볼링장,11.0,11620.0,126.928632,37.482704,서울,http://www.sammo.co.kr/,02-871-9183,2020-12-31
2663,오락실,에이스 게임장,서울특별시 관악구 신림로64길 9  2층 (신림동),11.0,11620.0,126.930259,37.48517,서울,,,2020-12-31
2664,오락실,늘푸른 게임랜드,서울특별시 관악구 중앙길 7  2층 (봉천동),11.0,11620.0,126.953821,37.483768,서울,,,2020-12-31
2665,오락실,동방게임월드,서울특별시 관악구 호암로22길 72  1층 (신림동),11.0,11620.0,126.936749,37.468478,서울,,,2020-12-31
2666,오락실,투아트게임방,서울특별시 관악구 호암로22길 76  2층 (신림동),11.0,11620.0,126.936941,37.46848,서울,,,2020-12-31
2667,볼링장,동서울그랜드볼링센터,서울특별시 광진구 강변역로 50 동서울터미널 6층,11.0,11215.0,127.093416,37.533452,서울,"http://cafe.naver.com/grangbc, https://www.facebook.com/ESgrandBC/",02-444-1100,2020-12-31
2668,오락실,로얄 게임장,서울특별시 광진구 광나루로 379 (군자동),11.0,11215.0,127.072018,37.548198,서울,,,2020-12-31
2669,오락실,펀잇강변점,서울특별시 광진구 광나루로56길 85 (구의동 테크노마트 10층 판매동 002호),11.0,11215.0,127.095708,37.535732,서울,,,2020-12-31
2670,오락실,프렌즈샵,서울특별시 광진구 군자로 49  1층 (화양동),11.0,11215.0,127.070225,37.547734,서울,,,2020-12-31
2671,오락실,중곡 게임랜드,서울특별시 광진구 긴고랑로 63  2층 (중곡동),11.0,11215.0,127.083359,37.561965,서울,,,2020-12-31
2672,오락실,과학오락관,서울특별시 광진구 능동로 216 (능동  어린이대공원),11.0,11215.0,127.081793,37.549401,서울,,,2020-12-31
2673,오락실,FRIENDS SHOP,서울특별시 광진구 능동로 438  1층 (중곡동),11.0,11215.0,127.085518,37.567739,서울,,,2020-12-31
2674,VR테마파크,몬스터VR 롯데백화점 건대스타시티점,서울특별시 광진구 능동로 92 롯데백화점스타시티점 10층,11.0,11215.0,127.071431,37.539012,서울,http://www.monstervr.co.kr/,070-5208-3155,2020-12-31
2675,오락실,게임천국,서울특별시 광진구 능동로13길 11  1  지층 (화양동),11.0,11215.0,127.071057,37.542659,서울,,,2020-12-31
2676,오락실,놀이터,서울특별시 광진구 능동로19길 24  1층 (화양동),11.0,11215.0,127.072585,37.547239,서울,,,2020-12-31
2677,VR테마파크,건대 VR카페 Vravo,서울특별시 광진구 능동로19길 35 광진 코지웰,11.0,11215.0,127.07174,37.546953,서울,http://www.facebook.com/VRavoCafe,02-6465-2688,2020-12-31
2678,오락실,못된강아지(군자),서울특별시 광진구 능동로35길 7  1층 (군자동),11.0,11215.0,127.078535,37.55662,서울,,,2020-12-31
2679,VR테마파크,메가브이알,서울특별시 광진구 능동로36길 9 3층 메가VR,11.0,11215.0,127.079784,37.556306,서울,,02-455-4187,2020-12-31
2680,오락실,짱오락실,서울특별시 광진구 동일로20길 106 (자양동),11.0,11215.0,127.069115,37.539607,서울,,,2020-12-31
2681,오락실,태산 (2019. 4. 17. 현장조사 무단폐업),서울특별시 광진구 뚝섬로23가길 1 (자양동),11.0,11215.0,127.065252,37.537279,서울,,,2020-12-31
2682,오락실,놀러와,서울특별시 광진구 뚝섬로27길 33  1층 (자양동),11.0,11215.0,127.065963,37.537401,서울,,,2020-12-31
2683,오락실,못된 강아지,서울특별시 광진구 면목로 174 (중곡동),11.0,11215.0,127.082983,37.568675,서울,,,2020-12-31
2684,오락실,노리터 게임장,서울특별시 광진구 면목로 98  2층 (중곡동),11.0,11215.0,127.079471,37.562394,서울,,,2020-12-31
2685,VR테마파크,VR 매직파크 건국대점,서울특별시 광진구 아차산로 219 2층 VR MAGIC PARK 건국대점,11.0,11215.0,127.06792,37.541102,서울,http://vrmagicpark.kr/kun,070-4160-1198,2020-12-31
2686,VR테마파크,BAD VR 건대점,서울특별시 광진구 아차산로 221,11.0,11215.0,127.068271,37.541069,서울,,010-4034-4679,2020-12-31
2687,오락실,짱오락실 건대점,서울특별시 광진구 아차산로 229  2층 202호 (화양동  한림타워),11.0,11215.0,127.068987,37.540813,서울,,,2020-12-31
2688,VR테마파크,브리즈브이알카페 건대점,서울특별시 광진구 아차산로 230 2층,11.0,11215.0,127.068722,37.540243,서울,http://www.instagram.com/vriz_vr,070-4633-6981,2020-12-31
2689,오락실,파니오락실,서울특별시 광진구 아차산로 241  연한빌딩 4층 (화양동),11.0,11215.0,127.070156,37.540516,서울,,,2020-12-31
2690,오락실,브릭스,서울특별시 광진구 아차산로 262  2층 (자양동  더샵스타시티),11.0,11215.0,127.072748,37.537734,서울,,,2020-12-31
2691,오락실,게임천국,서울특별시 광진구 아차산로29길 28 (화양동 1층),11.0,11215.0,127.068812,37.542109,서울,,,2020-12-31
2692,오락실,놀이터 건대점,서울특별시 광진구 아차산로33길 16  1층 (화양동),11.0,11215.0,127.070285,37.541058,서울,,,2020-12-31
2693,오락실,몬스터고,서울특별시 광진구 아차산로33길 21  1층 (화양동),11.0,11215.0,127.070203,37.541309,서울,,,2020-12-31
2694,오락실,플레이원,서울특별시 광진구 아차산로33길 53 (화양동),11.0,11215.0,127.070797,37.542674,서울,,,2020-12-31
2695,오락실,행복게임장 (현장조사 2014-02-28 무단폐업),서울특별시 광진구 용마산로 39 (중곡동),11.0,11215.0,127.087651,37.557169,서울,,,2020-12-31
2696,오락실,동아게임장,서울특별시 광진구 용마산로 58  1층 (중곡동),11.0,11215.0,127.088061,37.55883,서울,,,2020-12-31
2697,오락실,드림캐치,서울특별시 광진구 자양로13길 27 (자양동),11.0,11215.0,127.082683,37.53491,서울,,,2020-12-31
