,SI_DO,GU,DONG_CODE,DONG,SUBWAY_NUM,STARBUCKS_NUM,SPORT_NUM,SAFE_DLVR_NUM,POLICE_NUM,PHARM_NUM,NOISE_VIBRATION_NUM,MID_SCH_NUM,MC_NUM,LEISURE_NUM,KINDER_NUM,KIDS_NUM,HOSPITAL_NUM,HIGH_SCH_NUM,GYM_NUM,GOLF_NUM,FIRE_NUM,ELE_SCH_NUM,DPTM_NUM,CON_NUM,CHILD_MED_NUM,CCTV_NUM,CAR_SHR_NUM,CAFE_NUM,BUS_NUM,BIKE_NUM,ANI_HSPT_NUM,ACADEMY_NUM,STD_DAY
0,서울특별시,종로구,1111010100,청운동,0,0,0,0,0,0,2016,1,0,0,0,0,0,2,0,0,0,2,0,2,0,12,0,8,3,2,0,2,2022-10-28
1,서울특별시,종로구,1111010200,신교동,0,0,0,0,0,0,2016,0,0,0,0,0,2,0,0,0,1,0,0,0,0,14,0,1,0,0,1,5,2022-10-28
2,서울특별시,종로구,1111010300,궁정동,0,0,0,0,1,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2022-10-28
3,서울특별시,종로구,1111010400,효자동,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2022-10-28
4,서울특별시,종로구,1111010500,창성동,0,0,0,0,0,1,2016,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,3,1,1,0,1,2022-10-28
5,서울특별시,종로구,1111010800,통인동,0,0,0,0,0,0,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,5,2022-10-28
6,서울특별시,종로구,1111010900,누상동,0,0,0,0,0,0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,1,2022-10-28
7,서울특별시,종로구,1111011000,누하동,0,0,0,0,0,1,2016,0,0,0,0,0,2,1,0,0,0,0,0,0,2,3,0,8,1,0,0,2,2022-10-28
8,서울특별시,종로구,1111011100,옥인동,0,0,0,1,1,2,2016,0,0,1,0,0,1,0,0,0,0,0,0,0,3,15,0,5,0,0,0,2,2022-10-28
9,서울특별시,종로구,1111011900,세종로,1,1,0,0,0,1,2016,0,0,0,0,0,8,0,0,0,0,0,0,0,1,8,3,11,11,5,0,0,2022-10-28
10,서울특별시,종로구,1111010600,통의동,0,1,0,0,1,0,2016,0,0,0,0,0,4,0,1,0,0,0,0,0,0,9,0,8,0,0,0,1,2022-10-28
11,서울특별시,종로구,1111010700,적선동,1,2,0,0,0,3,2016,0,0,0,0,0,13,0,1,0,0,0,0,0,5,0,1,15,0,0,0,0,2022-10-28
12,서울특별시,종로구,1111011200,체부동,0,0,0,0,0,0,2016,0,0,0,0,0,1,0,0,0,0,0,0,4,0,5,0,10,1,0,0,0,2022-10-28
13,서울특별시,종로구,1111011300,필운동,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,0,4,0,0,0,9,2022-10-28
14,서울특별시,종로구,1111011400,내자동,0,0,0,0,0,5,2016,0,0,0,0,0,9,0,2,0,0,0,0,0,5,3,0,4,2,2,1,5,2022-10-28
15,서울특별시,종로구,1111011500,사직동,0,1,0,0,1,1,2016,0,0,0,0,0,1,0,2,2,0,0,0,2,0,8,0,10,7,2,0,0,2022-10-28
16,서울특별시,종로구,1111011600,도렴동,0,0,0,0,0,1,2016,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,2022-10-28
17,서울특별시,종로구,1111011700,당주동,0,1,0,0,0,2,2016,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,2022-10-28
18,서울특별시,종로구,1111011800,내수동,0,0,0,0,0,0,2016,0,0,1,0,0,5,0,7,1,0,0,0,6,0,0,2,8,0,1,0,2,2022-10-28
